,0
743,5.9249999999999475e-08
744,5.925999999999933e-08
745,5.925999999999933e-08
746,5.927000000000003e-08
747,-9.407200000000007e-07
748,6.916999999999802e-08
749,6.916999999999802e-08
750,6.917999999999956e-08
751,6.918999999999942e-08
752,6.919999999999927e-08
753,6.920999999999997e-08
754,6.921999999999982e-08
755,6.921999999999982e-08
756,6.922999999999967e-08
757,6.923999999999868e-08
758,6.924999999999853e-08
759,6.924999999999853e-08
760,6.926000000000008e-08
761,6.926999999999908e-08
762,-9.3072e-07
763,7.918000000000116e-08
764,7.919000000000017e-08
765,7.919999999999917e-08
766,7.919999999999917e-08
767,7.921000000000157e-08
768,7.922000000000057e-08
769,7.922999999999958e-08
770,7.924000000000028e-08
771,7.924000000000028e-08
772,7.924999999999928e-08
773,7.925999999999998e-08
774,-9.207299999999999e-07
775,8.917999999999937e-08
776,8.919000000000007e-08
777,8.919999999999908e-08
778,8.920999999999978e-08
779,8.922000000000048e-08
780,8.922000000000048e-08
781,8.922999999999948e-08
782,8.924000000000018e-08
783,8.924999999999919e-08
784,8.924999999999919e-08
785,8.925999999999989e-08
786,-9.1073e-07
787,9.919999999999898e-08
788,9.919999999999898e-08
789,9.919999999999898e-08
790,9.919999999999898e-08
791,9.919999999999898e-08
792,9.919999999999898e-08
793,9.919999999999898e-08
794,9.92999999999992e-08
795,9.92999999999992e-08
796,-9.006999999999997e-07
797,1.0920000000000058e-07
798,1.0920000000000058e-07
799,1.0920000000000058e-07
800,1.0920000000000058e-07
801,1.0920000000000058e-07
802,1.0920000000000058e-07
803,1.0920000000000058e-07
804,1.093000000000008e-07
805,-8.906999999999998e-07
806,1.1920000000000049e-07
807,1.1920000000000049e-07
808,1.1920000000000049e-07
809,1.1920000000000049e-07
810,1.1920000000000049e-07
811,1.1920000000000049e-07
812,1.1920000000000049e-07
813,-8.806999999999999e-07
814,1.292000000000004e-07
815,1.292000000000004e-07
816,1.292000000000004e-07
817,1.292000000000004e-07
818,1.292000000000004e-07
819,1.292000000000004e-07
820,1.292000000000004e-07
821,-8.707000000000017e-07
822,1.391999999999986e-07
823,1.391999999999986e-07
824,1.391999999999986e-07
825,1.391999999999986e-07
826,1.391999999999986e-07
827,1.391999999999986e-07
828,-8.606999999999984e-07
829,1.492000000000019e-07
830,1.492000000000019e-07
831,1.492000000000019e-07
832,1.492000000000019e-07
833,1.492000000000019e-07
834,1.492000000000019e-07
835,-8.506999999999985e-07
836,1.592000000000001e-07
837,1.592000000000001e-07
838,1.592000000000001e-07
839,1.592000000000001e-07
840,1.592000000000001e-07
841,-8.407000000000003e-07
842,1.692000000000017e-07
843,1.692000000000017e-07
844,1.692000000000017e-07
845,1.692000000000017e-07
846,1.692000000000017e-07
847,-8.306999999999987e-07
848,1.791999999999999e-07
849,1.791999999999999e-07
850,1.791999999999999e-07
851,1.791999999999999e-07
852,1.791999999999999e-07
853,-8.207000000000005e-07
854,1.8919999999999812e-07
855,1.8919999999999812e-07
856,1.8919999999999812e-07
857,1.8919999999999812e-07
858,-8.107000000000022e-07
859,1.9919999999999972e-07
860,1.9919999999999972e-07
861,1.9919999999999972e-07
862,1.9919999999999972e-07
863,-8.006999999999973e-07
864,2.0920000000000132e-07
865,2.0920000000000132e-07
866,2.0920000000000132e-07
867,2.0920000000000132e-07
868,-7.907000000000024e-07
869,2.1920000000000292e-07
870,2.1920000000000292e-07
871,2.1920000000000292e-07
872,2.1920000000000292e-07
873,-7.807000000000008e-07
874,2.2920000000000113e-07
875,2.2920000000000113e-07
876,2.2920000000000113e-07
877,-7.707000000000026e-07
878,2.3919999999999934e-07
879,2.3919999999999934e-07
880,2.3919999999999934e-07
881,-7.608000000000013e-07
882,2.4920000000000093e-07
883,2.4920000000000093e-07
884,2.4920000000000093e-07
885,-7.507999999999997e-07
886,2.5919999999999914e-07
887,2.5919999999999914e-07
888,2.5919999999999914e-07
889,-7.408000000000014e-07
890,2.6919999999999735e-07
891,2.6919999999999735e-07
892,2.6919999999999735e-07
893,-7.30700000000003e-07
894,2.7919999999999895e-07
895,2.7919999999999895e-07
896,2.7919999999999895e-07
897,-7.20699999999998e-07
898,2.8920000000000394e-07
899,2.8920000000000394e-07
900,-7.106999999999998e-07
901,2.9920000000000215e-07
902,2.9920000000000215e-07
903,-7.008000000000018e-07
904,3.0920000000000036e-07
905,3.0920000000000036e-07
906,3.0920000000000036e-07
907,-6.907000000000034e-07
908,3.1920000000000196e-07
909,3.1920000000000196e-07
910,-6.807000000000018e-07
911,3.291999999999968e-07
912,3.291999999999968e-07
913,-6.707000000000002e-07
914,3.391999999999984e-07
915,3.391999999999984e-07
916,-6.606999999999986e-07
917,3.4920000000000675e-07
918,3.4920000000000675e-07
919,-6.507000000000038e-07
920,3.592000000000016e-07
921,-6.407999999999956e-07
922,3.692000000000032e-07
923,3.692000000000032e-07
924,-6.308000000000008e-07
925,3.79199999999998e-07
926,3.79199999999998e-07
927,-6.20699999999999e-07
928,3.891999999999996e-07
929,-6.108000000000044e-07
930,3.991999999999944e-07
931,3.991999999999944e-07
932,-6.007000000000026e-07
933,4.092000000000028e-07
934,-5.907999999999944e-07
935,4.192000000000044e-07
936,4.192000000000044e-07
937,-5.806999999999994e-07
938,4.291999999999992e-07
939,-5.70799999999998e-07
940,4.392000000000008e-07
941,-5.608000000000032e-07
942,4.4919999999999563e-07
943,4.4919999999999563e-07
944,-5.506999999999946e-07
945,4.59200000000004e-07
946,-5.40699999999993e-07
947,4.692000000000056e-07
948,-5.307999999999984e-07
949,4.792000000000004e-07
950,-5.207999999999968e-07
951,4.89200000000002e-07
952,-5.10800000000002e-07
953,4.991999999999968e-07
954,-5.008000000000004e-07
955,5.091999999999984e-07
956,-4.908000000000055e-07
957,5.192e-07
958,-4.807999999999972e-07
959,5.292000000000016e-07
960,-4.707000000000021e-07
961,5.391999999999965e-07
962,-4.607000000000005e-07
963,5.491999999999981e-07
964,-4.507000000000057e-07
965,-4.4079999999999754e-07
966,5.692000000000013e-07
967,-4.3079999999999594e-07
968,5.792000000000096e-07
969,-4.206999999999941e-07
970,5.892000000000045e-07
971,-4.1069999999999253e-07
972,-4.007999999999979e-07
973,6.092000000000009e-07
974,-3.906999999999961e-07
975,6.192000000000025e-07
976,-3.807000000000013e-07
977,-3.707999999999999e-07
978,6.392000000000057e-07
979,-3.6070000000001164e-07
980,-3.5080000000001026e-07
981,6.591999999999953e-07
982,-3.406999999999949e-07
983,-3.307999999999935e-07
984,6.791999999999985e-07
985,-3.206999999999917e-07
986,-3.107999999999903e-07
987,6.992000000000017e-07
988,-3.006999999999885e-07
989,-2.9080000000000067e-07
990,-2.807999999999923e-07
991,7.291999999999997e-07
992,-2.706999999999905e-07
993,-2.607999999999891e-07
994,7.492000000000029e-07
995,-2.5070000000000084e-07
996,-2.4069999999999246e-07
997,-2.3080000000000463e-07
998,-2.208000000000098e-07
999,7.891999999999958e-07
1000,-2.10700000000008e-07
1001,-2.0069999999999962e-07
